agent_id,persona,entry_gate,initial_destination,speed_mps,patience,group_size
A00047,hardcore_fan,GATE_B,GS_A,1.62,0.85,2
A00048,hardcore_fan,GATE_B,GS_C,1.4,0.84,1
A00049,family,GATE_C,FOOD_S,1.03,0.58,2
A00050,family,GATE_VIP,MERCH,1.09,0.57,2
A00051,tourist,GATE_B,FOOD_N,1.39,0.52,1
A00052,photographer,GATE_A,GS_A,1.32,0.71,4
A00053,hardcore_fan,GATE_C,GS_A,1.61,0.8,2
A00054,hardcore_fan,GATE_C,GS_A,1.59,0.75,2
A00055,hardcore_fan,GATE_VIP,GS_A,1.54,0.72,2
A00056,hardcore_fan,GATE_A,GS_A,1.62,0.71,2
A00057,family,GATE_B,FOOD_S,1.05,0.5,1
A00058,hardcore_fan,GATE_VIP,GS_A,1.53,0.84,1
A00059,tourist,GATE_B,GS_A,0.93,0.73,1
A00060,family,GATE_C,GS_C,1.0,0.55,2
A00061,family,GATE_A,FOOD_S,0.96,0.6,1
A00062,tourist,GATE_B,MERCH,1.11,0.69,2
A00063,tourist,GATE_A,FOOD_N,1.08,0.73,1
A00064,tourist,GATE_B,MERCH,1.28,0.65,4
A00065,vip,GATE_C,PIT_WALK,1.21,0.94,5
A00066,vip,GATE_VIP,GS_A,1.31,0.85,3
A00067,hardcore_fan,GATE_VIP,GS_A,1.38,0.97,1
A00068,hardcore_fan,GATE_A,GS_B,1.47,0.83,4
A00069,photographer,GATE_C,PIT_WALK,1.22,0.8,1
A00070,tourist,GATE_A,GS_A,1.21,0.62,4
A00071,hardcore_fan,GATE_C,GS_C,1.33,0.87,1
A00072,family,GATE_C,FOOD_S,1.13,0.54,5
A00073,tourist,GATE_C,MERCH,1.26,0.57,1
A00074,tourist,GATE_B,FAN_ZONE,1.2,0.75,5
A00075,tourist,GATE_A,FAN_ZONE,1.18,0.7,3
A00076,photographer,GATE_A,GS_A,1.26,0.78,2
A00077,hardcore_fan,GATE_B,GS_B,1.39,0.87,4
A00078,family,GATE_C,GS_A,1.2,0.57,4
A00079,family,GATE_VIP,GS_C,0.84,0.64,4
A00080,family,GATE_C,FOOD_S,1.09,0.5,2
A00081,family,GATE_A,FAN_ZONE,0.96,0.49,1
A00082,vip,GATE_VIP,FOOD_N,1.14,0.87,1
A00083,hardcore_fan,GATE_B,PIT_WALK,1.48,0.9,3
A00084,hardcore_fan,GATE_B,PIT_WALK,1.33,0.93,4
A00085,hardcore_fan,GATE_A,GS_A,1.03,0.78,3
A00086,hardcore_fan,GATE_A,MERCH,1.47,0.85,2
A00087,hardcore_fan,GATE_A,GS_A,1.55,0.92,2
A00088,family,GATE_A,FAN_ZONE,0.8,0.44,1
A00089,vip,GATE_A,PIT_WALK,1.15,0.82,4
A00090,family,GATE_C,GS_C,0.95,0.46,1
A00091,tourist,GATE_B,FOOD_N,1.26,0.53,1
A00092,hardcore_fan,GATE_B,GS_B,1.36,0.85,4
A00093,vip,GATE_A,FOOD_N,1.23,0.8,1
A00094,family,GATE_C,MERCH,0.98,0.68,5
A00095,family,GATE_C,FOOD_S,0.97,0.6,1
A00096,hardcore_fan,GATE_B,PIT_WALK,1.32,0.81,3
A00097,hardcore_fan,GATE_C,GS_A,1.49,0.97,3
A00098,hardcore_fan,GATE_C,PIT_WALK,1.34,0.82,2
A00099,hardcore_fan,GATE_C,GS_B,1.46,0.74,5
A00100,family,GATE_A,GS_C,0.94,0.58,3
A00101,family,GATE_B,FAN_ZONE,1.0,0.49,5
A00102,hardcore_fan,GATE_A,GS_A,1.47,0.88,1
A00103,hardcore_fan,GATE_C,GS_A,1.31,0.79,2
A00104,photographer,GATE_C,GS_B,1.25,0.8,1
A00105,hardcore_fan,GATE_VIP,GS_B,1.43,0.82,5
A00106,hardcore_fan,GATE_A,GS_A,1.36,0.86,1
A00107,hardcore_fan,GATE_C,GS_A,1.56,0.88,1
A00108,hardcore_fan,GATE_C,FAN_ZONE,1.51,0.88,4
A00109,tourist,GATE_C,FAN_ZONE,1.09,0.64,5
A00110,hardcore_fan,GATE_C,GS_B,1.42,0.84,1
A00111,photographer,GATE_A,GS_A,1.27,0.72,1
A00112,tourist,GATE_A,MERCH,1.16,0.58,1
A00113,hardcore_fan,GATE_C,GS_C,1.3,0.88,2
A00114,vip,GATE_C,GS_A,1.45,0.87,2
A00115,tourist,GATE_VIP,GS_A,1.25,0.67,2
A00116,tourist,GATE_C,GS_C,1.1,0.68,2
A00117,tourist,GATE_VIP,MERCH,1.16,0.65,1
A00118,photographer,GATE_C,PIT_WALK,1.37,0.76,1
A00119,photographer,GATE_C,GS_B,1.46,0.78,5
A00120,family,GATE_B,GS_C,1.11,0.55,5
A00121,photographer,GATE_B,GS_B,1.28,0.78,1
A00122,hardcore_fan,GATE_C,GS_A,1.62,0.81,1
A00123,family,GATE_B,FAN_ZONE,1.1,0.54,1
A00124,tourist,GATE_B,MERCH,1.24,0.71,5
A00125,tourist,GATE_C,FAN_ZONE,0.98,0.6,5
A00126,photographer,GATE_B,GS_A,1.18,0.66,1
A00127,hardcore_fan,GATE_A,GS_B,1.48,0.98,1
A00128,family,GATE_A,FOOD_N,0.84,0.55,2
A00129,family,GATE_B,FAN_ZONE,0.95,0.56,2
A00130,photographer,GATE_B,FAN_ZONE,1.35,0.71,4
A00131,hardcore_fan,GATE_C,GS_A,1.61,0.85,5
A00132,photographer,GATE_B,GS_B,1.22,0.85,4
A00133,family,GATE_B,GS_C,0.96,0.46,2
A00134,photographer,GATE_B,GS_B,1.08,0.78,4
A00135,family,GATE_C,FOOD_N,1.12,0.54,1
A00136,hardcore_fan,GATE_VIP,GS_A,1.61,0.93,1
A00137,family,GATE_B,FOOD_S,0.88,0.6,1
A00138,hardcore_fan,GATE_C,GS_A,1.38,0.8,1
A00139,photographer,GATE_C,FAN_ZONE,1.24,0.79,5
A00140,photographer,GATE_A,GS_A,1.15,0.63,2
A00141,tourist,GATE_B,FAN_ZONE,1.06,0.54,5
A00142,hardcore_fan,GATE_A,GS_A,1.43,0.87,3
A00143,family,GATE_A,FAN_ZONE,0.84,0.5,1
A00144,hardcore_fan,GATE_C,GS_B,1.4,0.78,1
A00145,hardcore_fan,GATE_C,GS_B,1.34,0.72,5
A00146,photographer,GATE_C,GS_A,1.21,0.77,2
A00147,tourist,GATE_B,FAN_ZONE,1.24,0.61,4
A00148,photographer,GATE_A,GS_B,1.25,0.8,2
A00149,hardcore_fan,GATE_C,GS_B,1.65,0.86,1
A00150,photographer,GATE_C,FAN_ZONE,1.44,0.68,2
A00151,tourist,GATE_B,FOOD_N,1.09,0.58,1
A00152,tourist,GATE_VIP,FOOD_N,1.16,0.72,3
A00153,tourist,GATE_A,FAN_ZONE,1.2,0.61,1
A00154,vip,GATE_C,PIT_WALK,1.27,0.9,1
A00155,hardcore_fan,GATE_C,GS_B,1.51,0.74,3
A00156,vip,GATE_B,PIT_WALK,1.35,0.85,4
A00157,photographer,GATE_C,GS_B,1.3,0.74,1
A00158,family,GATE_C,FOOD_S,0.84,0.48,3
A00159,hardcore_fan,GATE_A,GS_A,1.55,0.79,2
A00160,tourist,GATE_C,MERCH,1.16,0.55,1
A00161,hardcore_fan,GATE_VIP,GS_A,1.4,0.85,1
A00162,family,GATE_B,GS_A,0.96,0.47,1
A00163,photographer,GATE_C,FAN_ZONE,1.12,0.64,2
A00164,hardcore_fan,GATE_B,GS_B,1.64,0.81,1
A00165,photographer,GATE_B,MERCH,1.28,0.73,2
A00166,hardcore_fan,GATE_A,PIT_WALK,1.31,0.88,1
A00167,hardcore_fan,GATE_B,MERCH,1.47,0.8,2
A00168,tourist,GATE_C,FAN_ZONE,1.23,0.53,1
A00169,hardcore_fan,GATE_VIP,MERCH,1.28,0.82,1
A00170,tourist,GATE_A,FAN_ZONE,1.22,0.6,3
A00171,hardcore_fan,GATE_A,GS_A,1.41,0.87,1
A00172,family,GATE_C,FAN_ZONE,1.09,0.6,1
A00173,tourist,GATE_VIP,FOOD_N,1.15,0.75,1
A00174,hardcore_fan,GATE_B,GS_B,1.4,0.78,5
A00175,hardcore_fan,GATE_A,GS_B,1.52,0.87,3
A00176,family,GATE_C,GS_C,0.89,0.55,1
A00177,photographer,GATE_C,FAN_ZONE,1.29,0.7,5
A00178,photographer,GATE_B,FAN_ZONE,1.17,0.82,3
A00179,family,GATE_C,FAN_ZONE,1.13,0.68,1
A00180,hardcore_fan,GATE_A,GS_B,1.45,0.78,1
A00181,tourist,GATE_C,FOOD_N,1.18,0.68,3
A00182,photographer,GATE_VIP,GS_B,1.33,0.74,2
A00183,tourist,GATE_B,FOOD_N,1.23,0.75,2
A00184,vip,GATE_B,GS_A,1.41,0.94,2
A00185,vip,GATE_C,FOOD_N,1.41,0.81,1
A00186,tourist,GATE_C,FOOD_N,1.28,0.66,2
A00187,photographer,GATE_B,GS_A,1.39,0.83,1
A00188,hardcore_fan,GATE_C,GS_A,1.45,0.8,4
A00189,family,GATE_A,FAN_ZONE,0.89,0.7,1
A00190,photographer,GATE_A,FAN_ZONE,1.34,0.76,5
A00191,tourist,GATE_B,MERCH,1.18,0.77,1
A00192,hardcore_fan,GATE_A,GS_C,1.35,0.8,2
A00193,hardcore_fan,GATE_B,GS_B,1.53,0.85,2
A00194,vip,GATE_C,PIT_WALK,1.44,0.96,4
A00195,hardcore_fan,GATE_B,GS_C,1.26,0.85,3
A00196,hardcore_fan,GATE_C,GS_A,1.67,0.87,3
A00197,tourist,GATE_C,FOOD_N,1.16,0.67,1
A00198,photographer,GATE_A,MERCH,1.15,0.78,3
A00199,hardcore_fan,GATE_C,GS_A,1.35,0.8,4
A00200,photographer,GATE_C,GS_A,1.31,0.72,1
A00201,family,GATE_A,FOOD_S,0.85,0.69,1
A00202,hardcore_fan,GATE_A,GS_A,1.31,0.78,1
A00203,hardcore_fan,GATE_C,GS_B,1.45,0.73,5
A00204,tourist,GATE_C,FOOD_N,1.29,0.64,3
A00205,hardcore_fan,GATE_A,GS_B,1.42,0.9,1
A00206,family,GATE_A,FAN_ZONE,1.09,0.57,2
A00207,hardcore_fan,GATE_C,PIT_WALK,1.36,0.79,5
A00208,tourist,GATE_VIP,FOOD_N,1.41,0.69,2
A00209,hardcore_fan,GATE_B,GS_A,1.49,0.86,3
A00210,photographer,GATE_A,PIT_WALK,1.45,0.78,5
A00211,family,GATE_C,FAN_ZONE,1.09,0.52,3
A00212,tourist,GATE_A,FOOD_N,1.15,0.7,4
A00213,hardcore_fan,GATE_C,GS_C,1.62,0.77,3
A00214,hardcore_fan,GATE_C,FAN_ZONE,1.4,0.95,4
A00215,hardcore_fan,GATE_C,GS_A,1.32,0.81,3
A00216,vip,GATE_C,FAN_ZONE,1.34,0.79,1
A00217,tourist,GATE_B,MERCH,1.16,0.68,2
A00218,hardcore_fan,GATE_C,GS_A,1.51,0.85,2
A00219,vip,GATE_A,GS_A,1.46,0.78,1
A00220,tourist,GATE_C,FOOD_N,1.15,0.63,1
A00221,vip,GATE_C,FAN_ZONE,1.4,0.96,4
A00222,family,GATE_C,MERCH,0.87,0.48,5
A00223,hardcore_fan,GATE_A,MERCH,1.5,0.7,2
A00224,family,GATE_VIP,MERCH,0.92,0.56,4
A00225,family,GATE_B,GS_C,1.04,0.64,2
A00226,hardcore_fan,GATE_B,GS_B,1.59,0.81,1
A00227,hardcore_fan,GATE_C,GS_A,1.5,0.83,4
A00228,hardcore_fan,GATE_VIP,PIT_WALK,1.62,0.74,4
A00229,hardcore_fan,GATE_B,GS_A,1.55,0.85,1
A00230,hardcore_fan,GATE_A,GS_C,1.42,0.88,1
A00231,hardcore_fan,GATE_C,GS_C,1.55,0.93,5
A00232,tourist,GATE_VIP,FAN_ZONE,1.21,0.69,4
A00233,hardcore_fan,GATE_A,GS_A,1.55,0.87,5
A00234,hardcore_fan,GATE_C,GS_B,1.31,0.83,2
A00235,tourist,GATE_A,FAN_ZONE,1.12,0.72,1
A00236,tourist,GATE_A,PIT_WALK,1.31,0.69,1
A00237,family,GATE_B,FOOD_S,1.08,0.54,1
A00238,family,GATE_A,GS_C,0.97,0.52,3
A00239,hardcore_fan,GATE_B,GS_A,1.33,0.75,5
A00240,photographer,GATE_B,GS_A,1.41,0.83,5
A00241,hardcore_fan,GATE_A,PIT_WALK,1.52,0.81,2
A00242,family,GATE_VIP,FAN_ZONE,1.0,0.67,2
A00243,hardcore_fan,GATE_C,GS_A,1.41,0.8,3
A00244,family,GATE_B,FAN_ZONE,1.09,0.53,1
A00245,family,GATE_B,GS_A,0.82,0.53,4
A00246,hardcore_fan,GATE_C,PIT_WALK,1.37,0.83,1
A00247,hardcore_fan,GATE_A,GS_B,1.44,0.81,5
A00248,family,GATE_A,FOOD_N,0.79,0.75,2
A00249,tourist,GATE_C,FAN_ZONE,1.15,0.59,1
A00250,photographer,GATE_A,PIT_WALK,1.31,0.73,1
A00251,hardcore_fan,GATE_C,GS_B,1.47,0.84,1
A00252,tourist,GATE_VIP,MERCH,1.21,0.56,3
A00253,family,GATE_C,GS_C,1.12,0.62,5
A00254,family,GATE_VIP,GS_C,1.02,0.44,2
A00255,photographer,GATE_A,MERCH,1.25,0.75,1
A00256,family,GATE_C,FAN_ZONE,1.13,0.61,3
A00257,tourist,GATE_C,MERCH,1.18,0.71,1
A00258,tourist,GATE_VIP,FOOD_N,1.23,0.57,1
A00259,photographer,GATE_C,GS_A,1.21,0.75,3
A00260,family,GATE_VIP,GS_C,1.03,0.53,4
A00261,photographer,GATE_C,PIT_WALK,1.32,0.62,1
A00262,hardcore_fan,GATE_B,GS_A,1.33,0.87,1
A00263,photographer,GATE_C,PIT_WALK,1.41,0.92,4
A00264,family,GATE_C,FOOD_N,0.92,0.54,1
A00265,hardcore_fan,GATE_C,GS_A,1.65,0.8,1
A00266,hardcore_fan,GATE_C,GS_B,1.51,0.89,1
A00267,family,GATE_A,GS_A,1.08,0.63,3
A00268,vip,GATE_C,FAN_ZONE,1.38,0.9,2
A00269,tourist,GATE_C,MERCH,1.12,0.59,2
A00270,tourist,GATE_B,FAN_ZONE,1.24,0.58,5
A00271,hardcore_fan,GATE_A,GS_B,1.38,0.85,1
A00272,hardcore_fan,GATE_C,GS_C,1.62,0.7,1
A00273,vip,GATE_B,PIT_WALK,1.35,0.94,5
A00274,hardcore_fan,GATE_A,GS_A,1.35,0.91,2
A00275,photographer,GATE_VIP,FAN_ZONE,1.45,0.7,2
A00276,vip,GATE_B,GS_A,1.26,0.9,1
A00277,hardcore_fan,GATE_B,GS_B,1.46,0.94,1
A00278,hardcore_fan,GATE_B,PIT_WALK,1.39,0.78,1
A00279,vip,GATE_B,FAN_ZONE,1.33,0.78,3
A00280,hardcore_fan,GATE_A,GS_B,1.4,0.89,4
A00281,family,GATE_C,GS_C,1.15,0.54,1
A00282,hardcore_fan,GATE_A,GS_B,1.58,0.84,3
A00283,vip,GATE_A,GS_A,1.32,0.9,1
A00284,tourist,GATE_C,MERCH,1.33,0.77,1
A00285,hardcore_fan,GATE_C,GS_A,1.61,0.84,2
A00286,tourist,GATE_B,MERCH,1.07,0.66,5
A00287,vip,GATE_B,GS_A,1.48,0.89,1
A00288,tourist,GATE_A,FOOD_N,1.33,0.63,2
A00289,tourist,GATE_C,FAN_ZONE,1.1,0.58,4
A00290,hardcore_fan,GATE_C,GS_A,1.5,0.84,1
A00291,family,GATE_B,FAN_ZONE,1.03,0.63,5
A00292,photographer,GATE_C,GS_A,1.34,0.79,3
A00293,photographer,GATE_B,GS_B,1.41,0.73,3
A00294,family,GATE_C,FOOD_N,0.92,0.44,2
A00295,tourist,GATE_A,FAN_ZONE,1.13,0.63,2
A00296,vip,GATE_C,GS_A,1.24,0.91,2
A00297,hardcore_fan,GATE_C,GS_B,1.53,0.81,3
A00298,photographer,GATE_C,GS_B,1.26,0.86,3
A00299,photographer,GATE_C,PIT_WALK,1.34,0.88,2
A00300,photographer,GATE_C,GS_A,1.2,0.69,2
A00301,hardcore_fan,GATE_VIP,GS_A,1.45,0.88,3
A00302,tourist,GATE_A,GS_A,1.33,0.65,1
A00303,family,GATE_VIP,FOOD_N,0.93,0.56,2
A00304,hardcore_fan,GATE_C,FAN_ZONE,1.56,0.9,1
A00305,photographer,GATE_A,FAN_ZONE,1.4,0.89,4
A00306,vip,GATE_A,GS_A,1.41,0.86,1
A00307,hardcore_fan,GATE_C,GS_A,1.53,0.84,5
A00308,photographer,GATE_A,PIT_WALK,1.27,0.88,3
A00309,hardcore_fan,GATE_B,GS_A,1.51,0.96,2
A00310,tourist,GATE_C,FAN_ZONE,1.33,0.53,4
A00311,family,GATE_A,FOOD_S,1.02,0.59,3
A00312,photographer,GATE_A,GS_B,1.23,0.77,3
A00313,hardcore_fan,GATE_C,GS_A,1.36,0.76,1
A00314,tourist,GATE_B,FAN_ZONE,1.11,0.5,2
A00315,tourist,GATE_C,GS_C,1.15,0.69,1
A00316,family,GATE_B,MERCH,0.89,0.63,5
A00317,vip,GATE_C,FAN_ZONE,1.36,0.79,1
A00318,family,GATE_B,FAN_ZONE,1.04,0.53,2
A00319,tourist,GATE_A,MERCH,1.15,0.65,2
A00320,tourist,GATE_B,GS_C,1.17,0.66,1
A00321,family,GATE_B,GS_C,0.82,0.58,1
A00322,family,GATE_C,FOOD_S,0.97,0.54,3
A00323,tourist,GATE_B,FAN_ZONE,1.43,0.52,5
A00324,hardcore_fan,GATE_B,PIT_WALK,1.48,0.66,4
A00325,family,GATE_C,FAN_ZONE,1.08,0.52,1
A00326,tourist,GATE_C,MERCH,1.15,0.6,1
A00327,photographer,GATE_B,GS_A,1.49,0.73,1
A00328,photographer,GATE_B,PIT_WALK,1.21,0.78,2
A00329,hardcore_fan,GATE_B,GS_A,1.6,0.81,1
A00330,hardcore_fan,GATE_C,GS_B,1.64,0.79,2
A00331,hardcore_fan,GATE_A,GS_A,1.32,0.79,1
A00332,hardcore_fan,GATE_A,GS_B,1.29,0.82,1
A00333,hardcore_fan,GATE_VIP,GS_A,1.56,0.8,3
A00334,hardcore_fan,GATE_C,MERCH,1.35,0.84,2
A00335,hardcore_fan,GATE_VIP,PIT_WALK,1.57,0.8,4
A00336,tourist,GATE_A,MERCH,1.14,0.6,3
A00337,tourist,GATE_B,FAN_ZONE,1.25,0.73,2
A00338,vip,GATE_B,GS_A,1.43,0.75,4
A00339,photographer,GATE_C,GS_A,1.3,0.8,1
A00340,photographer,GATE_C,GS_A,1.29,0.71,2
A00341,family,GATE_C,GS_C,1.16,0.61,2
A00342,family,GATE_C,FAN_ZONE,1.02,0.55,2
A00343,photographer,GATE_A,MERCH,1.23,0.76,2
A00344,family,GATE_A,FAN_ZONE,0.98,0.63,3
A00345,hardcore_fan,GATE_B,PIT_WALK,1.27,0.88,5
A00346,vip,GATE_B,PIT_WALK,1.34,0.92,2
A00347,tourist,GATE_A,FOOD_N,1.06,0.59,2
A00348,hardcore_fan,GATE_B,GS_B,1.51,0.78,3
A00349,hardcore_fan,GATE_C,MERCH,1.38,0.79,1
A00350,tourist,GATE_B,FAN_ZONE,1.14,0.64,1
A00351,family,GATE_C,GS_C,1.01,0.53,1
A00352,family,GATE_C,GS_C,1.0,0.54,5
A00353,family,GATE_C,FOOD_S,0.91,0.5,5
A00354,hardcore_fan,GATE_B,GS_B,1.61,0.86,2
A00355,hardcore_fan,GATE_C,GS_C,1.53,0.71,1
A00356,photographer,GATE_B,GS_A,1.24,0.71,3
A00357,hardcore_fan,GATE_B,GS_B,1.34,0.9,2
A00358,hardcore_fan,GATE_C,GS_A,1.59,0.84,1
A00359,hardcore_fan,GATE_B,GS_B,1.46,0.85,1
A00360,hardcore_fan,GATE_C,GS_B,1.32,1,1
A00361,photographer,GATE_VIP,GS_A,1.42,0.69,5
A00362,hardcore_fan,GATE_VIP,GS_C,1.43,0.94,1
A00363,hardcore_fan,GATE_C,GS_A,1.46,0.89,4
A00364,photographer,GATE_A,PIT_WALK,1.12,0.69,3
A00365,family,GATE_C,FOOD_S,0.98,0.52,3
A00366,hardcore_fan,GATE_B,PIT_WALK,1.36,0.95,4
A00367,photographer,GATE_B,PIT_WALK,1.32,0.68,2
A00368,family,GATE_VIP,FAN_ZONE,0.94,0.46,1
A00369,vip,GATE_A,PIT_WALK,1.42,0.92,4
A00370,tourist,GATE_C,FOOD_N,1.18,0.68,1
A00371,photographer,GATE_B,FAN_ZONE,1.33,0.77,4
A00372,family,GATE_C,FAN_ZONE,1.09,0.56,1
A00373,tourist,GATE_C,GS_C,1.3,0.66,1
A00374,tourist,GATE_C,PIT_WALK,1.21,0.73,4
A00375,hardcore_fan,GATE_A,GS_A,1.49,0.88,2
A00376,family,GATE_B,GS_C,1.0,0.6,5
A00377,tourist,GATE_A,FAN_ZONE,1.12,0.81,3
A00378,vip,GATE_B,FAN_ZONE,1.25,0.93,1
A00379,hardcore_fan,GATE_C,GS_C,1.39,0.86,4
A00380,photographer,GATE_A,PIT_WALK,1.17,0.76,2
A00381,hardcore_fan,GATE_A,PIT_WALK,1.3,0.97,2
A00382,tourist,GATE_B,FOOD_N,0.96,0.6,5
A00383,photographer,GATE_A,FAN_ZONE,1.32,0.73,4
A00384,tourist,GATE_A,MERCH,1.2,0.69,4
A00385,vip,GATE_A,FOOD_N,1.25,0.91,4
A00386,family,GATE_C,FAN_ZONE,1.1,0.5,1
A00387,hardcore_fan,GATE_A,GS_C,1.52,0.93,4
A00388,photographer,GATE_B,FAN_ZONE,1.34,0.77,2
A00389,family,GATE_B,FOOD_S,0.9,0.52,4
A00390,family,GATE_C,FOOD_S,1.2,0.75,5
A00391,hardcore_fan,GATE_B,MERCH,1.63,0.96,1
A00392,hardcore_fan,GATE_B,PIT_WALK,1.36,0.84,1
A00393,family,GATE_C,FAN_ZONE,0.94,0.67,1
A00394,hardcore_fan,GATE_B,GS_A,1.52,0.7,2
A00395,family,GATE_C,FAN_ZONE,0.9,0.58,4
A00396,tourist,GATE_A,FOOD_N,1.07,0.72,2
A00397,family,GATE_B,GS_C,1.02,0.61,1
A00398,tourist,GATE_C,MERCH,1.16,0.68,1
A00399,hardcore_fan,GATE_C,GS_B,1.36,0.78,4
A00400,tourist,GATE_B,GS_A,1.06,0.56,2
A00401,photographer,GATE_C,PIT_WALK,1.27,0.8,1
A00402,hardcore_fan,GATE_C,GS_B,1.4,0.87,4
A00403,family,GATE_B,FAN_ZONE,1.2,0.47,1
A00404,tourist,GATE_B,FAN_ZONE,1.16,0.72,1
A00405,photographer,GATE_VIP,GS_B,1.33,0.81,5
A00406,family,GATE_B,FOOD_S,0.94,0.56,1
A00407,vip,GATE_A,PIT_WALK,1.36,0.96,5
A00408,tourist,GATE_C,MERCH,1.07,0.64,2
A00409,vip,GATE_C,PIT_WALK,1.36,0.88,5
A00410,family,GATE_VIP,GS_C,1.08,0.45,2
A00411,photographer,GATE_A,GS_B,1.33,0.73,1
A00412,vip,GATE_A,FAN_ZONE,1.27,0.87,4
A00413,hardcore_fan,GATE_A,GS_A,1.46,0.87,3
A00414,family,GATE_C,GS_C,1.08,0.54,2
A00415,photographer,GATE_B,MERCH,1.32,0.72,4
A00416,photographer,GATE_VIP,FAN_ZONE,1.44,0.85,2
A00417,hardcore_fan,GATE_B,GS_A,1.51,0.79,1
A00418,tourist,GATE_A,MERCH,1.06,0.68,1
A00419,family,GATE_C,FOOD_S,1.08,0.5,5
A00420,hardcore_fan,GATE_A,PIT_WALK,1.43,0.74,5
A00421,tourist,GATE_C,GS_C,1.23,0.58,4
A00422,vip,GATE_B,PIT_WALK,1.32,0.99,1
A00423,tourist,GATE_B,MERCH,1.19,0.63,1
A00424,tourist,GATE_C,FAN_ZONE,1.25,0.63,5
A00425,hardcore_fan,GATE_VIP,GS_A,1.43,0.82,2
A00426,hardcore_fan,GATE_VIP,GS_A,1.41,0.81,3
A00427,tourist,GATE_C,FAN_ZONE,1.09,0.57,2
A00428,family,GATE_A,GS_C,1.01,0.58,2
A00429,family,GATE_B,GS_C,0.97,0.58,4
A00430,tourist,GATE_B,FAN_ZONE,1.35,0.72,1
A00431,hardcore_fan,GATE_C,GS_A,1.47,0.73,1
A00432,tourist,GATE_C,FAN_ZONE,1.07,0.61,1
A00433,family,GATE_C,FOOD_S,1.06,0.61,5
A00434,photographer,GATE_A,GS_A,1.3,0.66,4
A00435,family,GATE_B,FOOD_S,1.0,0.65,2
A00436,tourist,GATE_C,FOOD_N,1.23,0.54,2
A00437,hardcore_fan,GATE_C,GS_A,1.34,0.91,2
A00438,family,GATE_A,FAN_ZONE,0.9,0.5,1
A00439,photographer,GATE_VIP,GS_A,1.38,0.68,3
A00440,family,GATE_A,FAN_ZONE,1.04,0.55,1
A00441,hardcore_fan,GATE_A,FAN_ZONE,1.55,0.83,2
A00442,tourist,GATE_B,MERCH,1.19,0.62,1
A00443,hardcore_fan,GATE_B,GS_B,1.5,0.97,3
