run_id,zone,event,weather,attendance,current_density_ratio,flow_rate_ratio,queue_length,blocked_route,future_density_10min_ratio
3,FOOD_S,LUNCH,sunny,150000,0.4722,0.7502,96.99,1,0.6851
3,MERCH,PODIUM,cloudy,100000,0.6527,1.0854,714.94,0,0.8043
3,PIT_WALK,PODIUM,sunny,120000,0.1556,0.8908,854.63,1,0.4103
4,GS_A,LUNCH,heavy_rain,150000,0.6986,1.137,1479.31,0,0.8893
4,GS_B,EXIT_RUSH,heavy_rain,150000,0.6926,0.4351,348.85,0,0.8042
4,GS_C,RACE,sunny,150000,0.9332,0.7456,1294.1,0,1.0465
4,FAN_ZONE,RACE,heavy_rain,80000,0.2017,1.1751,920.78,0,0.3645
4,FOOD_N,LUNCH,cloudy,120000,0.3115,0.7617,1138.23,0,0.4384
4,FOOD_S,QUALIFYING,heavy_rain,120000,0.7194,0.465,141.24,1,0.9227
4,MERCH,PRACTICE,rain,80000,0.692,0.2524,514.94,0,0.7406
4,PIT_WALK,LUNCH,rain,80000,0.7012,1.067,749.52,1,0.9734
5,GS_A,PIT_LANE_WALK,heavy_rain,150000,0.2926,1.1842,949.51,0,0.4821
5,GS_B,RACE,sunny,60000,0.3191,1.0672,91.35,0,0.4286
5,GS_C,PRACTICE,rain,100000,0.2432,1.16,793.68,1,0.511
5,FAN_ZONE,EXIT_RUSH,sunny,80000,0.1235,1.0957,845.05,0,0.2984
5,FOOD_N,PIT_LANE_WALK,sunny,150000,0.641,0.648,802.82,0,0.7549
5,FOOD_S,EXIT_RUSH,cloudy,120000,0.418,0.2946,661.05,0,0.5089
5,MERCH,EXIT_RUSH,sunny,100000,0.1258,0.1427,806.38,0,0.2042
5,PIT_WALK,LUNCH,sunny,80000,0.1916,0.8513,885.16,1,0.4383
6,GS_A,QUALIFYING,heavy_rain,60000,0.613,1.1971,1380.0,1,0.9267
6,GS_B,LUNCH,cloudy,80000,0.6684,0.172,369.33,1,0.8333
6,GS_C,QUALIFYING,sunny,100000,0.7749,0.1457,87.94,0,0.8072
6,FAN_ZONE,RACE,heavy_rain,100000,0.8751,0.7193,1053.31,0,0.9962
6,FOOD_N,PODIUM,heavy_rain,120000,0.3723,0.5927,297.06,1,0.5981
6,FOOD_S,PIT_LANE_WALK,heavy_rain,100000,0.4205,0.6395,736.86,1,0.6692
6,MERCH,PODIUM,sunny,80000,0.523,0.965,430.79,0,0.6524
6,PIT_WALK,RACE,cloudy,60000,0.9048,0.4378,881.2,0,0.9766
7,GS_A,LUNCH,rain,120000,0.5541,0.1519,454.42,0,0.606
7,GS_B,PIT_LANE_WALK,sunny,60000,0.7278,0.6764,267.44,0,0.8284
7,GS_C,PIT_LANE_WALK,sunny,120000,0.4886,0.3043,332.35,0,0.554
7,FAN_ZONE,QUALIFYING,cloudy,100000,0.2757,0.8045,23.39,0,0.3735
7,FOOD_N,EXIT_RUSH,rain,120000,0.104,0.3644,1220.46,0,0.2251
7,FOOD_S,PRACTICE,cloudy,150000,0.8026,0.509,1256.68,0,0.8928
7,MERCH,QUALIFYING,rain,100000,0.3092,0.8354,1322.92,0,0.4555
7,PIT_WALK,QUALIFYING,rain,120000,0.4478,0.1113,1235.33,0,0.519
8,GS_A,PRACTICE,heavy_rain,80000,0.3154,0.1115,1038.78,0,0.3753
8,GS_B,EXIT_RUSH,heavy_rain,80000,0.1599,0.2258,238.39,0,0.2473
8,GS_C,PODIUM,heavy_rain,150000,0.5564,0.2841,1110.14,0,0.6557
8,FAN_ZONE,EXIT_RUSH,sunny,80000,0.3435,1.0411,392.25,1,0.6193
8,FOOD_N,LUNCH,sunny,120000,0.9077,0.7102,746.95,1,1.1361
8,FOOD_S,LUNCH,sunny,80000,0.1929,0.3515,1249.64,0,0.2806
8,MERCH,QUALIFYING,sunny,80000,0.4706,0.508,1107.52,0,0.5696
8,PIT_WALK,LUNCH,rain,80000,0.7162,0.1481,21.32,0,0.7546
9,GS_A,QUALIFYING,heavy_rain,100000,0.3976,0.3207,966.2,0,0.4913
9,GS_B,PIT_LANE_WALK,heavy_rain,120000,0.5298,0.3478,940.82,0,0.6354
9,GS_C,RACE,cloudy,150000,0.159,0.3704,792.83,0,0.2214
9,FAN_ZONE,QUALIFYING,sunny,100000,0.9196,0.1624,1027.14,0,0.9816
9,FOOD_N,LUNCH,sunny,60000,0.4148,0.2578,155.69,1,0.5803
9,FOOD_S,PRACTICE,cloudy,150000,0.5783,0.9951,1153.04,0,0.714
9,MERCH,QUALIFYING,heavy_rain,150000,0.5637,0.1218,1236.0,0,0.6456
9,PIT_WALK,QUALIFYING,rain,120000,0.4288,1.1013,356.5,0,0.5726
10,GS_A,PIT_LANE_WALK,cloudy,100000,0.5073,1.0884,681.33,0,0.6631
10,GS_B,PIT_LANE_WALK,cloudy,60000,0.6415,0.2918,1451.06,0,0.7408
10,GS_C,QUALIFYING,cloudy,80000,0.467,0.4298,63.83,1,0.6485
10,FAN_ZONE,QUALIFYING,heavy_rain,120000,0.8141,0.4882,1412.82,1,1.0579
10,FOOD_N,PIT_LANE_WALK,heavy_rain,150000,0.4773,0.5273,545.34,0,0.589
10,FOOD_S,LUNCH,rain,150000,0.275,0.3387,286.45,1,0.4605
10,MERCH,PIT_LANE_WALK,cloudy,80000,0.8331,0.9713,562.22,1,1.0937
10,PIT_WALK,EXIT_RUSH,heavy_rain,80000,0.4997,0.6971,678.48,0,0.6474
11,GS_A,QUALIFYING,heavy_rain,120000,0.2846,0.7069,235.08,0,0.3949
11,GS_B,LUNCH,rain,120000,0.1203,0.3271,851.09,0,0.2015
11,GS_C,PIT_LANE_WALK,heavy_rain,80000,0.5888,0.9809,226.02,0,0.7363
11,FAN_ZONE,EXIT_RUSH,sunny,60000,0.7482,0.6354,915.54,0,0.8792
11,FOOD_N,PRACTICE,rain,100000,0.1729,0.1095,1293.37,0,0.2306
11,FOOD_S,LUNCH,rain,100000,0.8918,0.4924,1115.38,0,0.9975
11,MERCH,QUALIFYING,heavy_rain,80000,0.6297,0.4471,1356.77,0,0.7478
11,PIT_WALK,LUNCH,cloudy,60000,0.3463,0.2116,842.83,1,0.5293
12,GS_A,RACE,heavy_rain,80000,0.5525,0.7801,237.42,0,0.6552
12,GS_B,QUALIFYING,sunny,80000,0.9297,0.8303,219.97,0,1.0343
12,GS_C,EXIT_RUSH,sunny,120000,0.8482,0.6201,715.32,0,0.9717
12,FAN_ZONE,QUALIFYING,rain,60000,0.5972,0.3,1340.98,0,0.6904
12,FOOD_N,PIT_LANE_WALK,heavy_rain,60000,0.8535,0.1758,202.42,0,0.9198
12,FOOD_S,PODIUM,rain,60000,0.944,0.9701,1003.36,0,1.0991
12,MERCH,RACE,heavy_rain,100000,0.4015,1.1819,742.12,0,0.5596
12,PIT_WALK,RACE,sunny,100000,0.8236,0.3112,420.37,1,0.9873
13,GS_A,PIT_LANE_WALK,rain,120000,0.8699,0.1572,358.21,1,1.0494
13,GS_B,PODIUM,heavy_rain,100000,0.3869,0.4001,1492.65,0,0.5093
13,GS_C,RACE,sunny,100000,0.5686,0.2437,1467.37,0,0.637
13,FAN_ZONE,PRACTICE,rain,100000,0.4236,1.095,570.03,1,0.6782
13,FOOD_N,QUALIFYING,heavy_rain,80000,0.4118,0.6638,1490.48,0,0.5555
13,FOOD_S,QUALIFYING,rain,60000,0.9015,0.891,828.57,0,1.0384
13,MERCH,PODIUM,rain,60000,0.8764,1.1107,127.19,0,1.0192
13,PIT_WALK,PRACTICE,cloudy,60000,0.7891,0.9868,160.57,0,0.8942
14,GS_A,EXIT_RUSH,sunny,60000,0.2309,0.9816,1168.32,0,0.4041
14,GS_B,PRACTICE,cloudy,100000,0.726,0.4752,1363.37,1,0.9361
14,GS_C,PODIUM,cloudy,60000,0.7682,0.2164,182.97,0,0.8169
14,FAN_ZONE,QUALIFYING,cloudy,60000,0.2577,0.8901,137.38,0,0.3675
14,FOOD_N,LUNCH,heavy_rain,120000,0.7094,0.5256,938.18,0,0.8227
14,FOOD_S,PODIUM,sunny,80000,0.6146,0.3047,432.1,1,0.7981
14,MERCH,PIT_LANE_WALK,cloudy,60000,0.5314,0.1875,1461.29,0,0.6206
14,PIT_WALK,PIT_LANE_WALK,cloudy,120000,0.6974,0.1834,280.57,0,0.7508
15,GS_A,RACE,rain,120000,0.64,0.7515,902.33,0,0.7502
15,GS_B,PRACTICE,rain,80000,0.3133,0.4792,361.16,0,0.3801
15,GS_C,PODIUM,sunny,60000,0.155,0.1691,516.33,1,0.3274
15,FAN_ZONE,PODIUM,sunny,150000,0.6729,1.0885,668.9,0,0.8218
15,FOOD_N,RACE,sunny,100000,0.7557,1.1059,1047.11,0,0.8977
15,FOOD_S,QUALIFYING,rain,100000,0.4832,0.9164,720.67,1,0.7394
15,MERCH,LUNCH,sunny,120000,0.564,0.9195,342.17,0,0.6812
15,PIT_WALK,EXIT_RUSH,heavy_rain,120000,0.4952,0.6078,1385.17,1,0.7751
16,GS_A,QUALIFYING,sunny,100000,0.4843,0.2563,1125.83,0,0.5588
16,GS_B,PIT_LANE_WALK,sunny,80000,0.4242,1.0573,224.08,1,0.6817
16,GS_C,PRACTICE,heavy_rain,80000,0.2284,1.1406,325.49,1,0.4898
16,FAN_ZONE,LUNCH,rain,80000,0.3303,0.3175,745.98,0,0.4074
16,FOOD_N,QUALIFYING,cloudy,60000,0.2615,0.7675,748.71,1,0.4973
16,FOOD_S,PODIUM,heavy_rain,80000,0.4004,0.2166,1429.43,0,0.5025
16,MERCH,QUALIFYING,heavy_rain,100000,0.2999,1.1377,1205.43,0,0.4824
16,PIT_WALK,RACE,heavy_rain,150000,0.6368,0.4724,465.92,0,0.7156
17,GS_A,EXIT_RUSH,cloudy,150000,0.21,0.4101,1087.14,0,0.3252
17,GS_B,QUALIFYING,cloudy,100000,0.9249,0.1694,670.62,0,0.9785
17,GS_C,PODIUM,heavy_rain,150000,0.685,1.1012,1353.83,0,0.8734
17,FAN_ZONE,LUNCH,rain,150000,0.3896,0.9732,1047.49,0,0.5414
17,FOOD_N,RACE,heavy_rain,100000,0.618,0.9947,373.65,0,0.7463
17,FOOD_S,RACE,rain,150000,0.5343,0.2051,1125.29,0,0.5966
17,MERCH,PODIUM,rain,120000,0.5173,0.7629,1336.37,0,0.6617
17,PIT_WALK,PODIUM,cloudy,60000,0.4311,0.3125,1154.92,0,0.5186
18,GS_A,PIT_LANE_WALK,heavy_rain,100000,0.5027,0.3457,4.58,0,0.58
18,GS_B,RACE,cloudy,150000,0.9132,0.6332,471.25,0,0.9922
18,GS_C,LUNCH,rain,120000,0.6143,0.4252,90.84,0,0.6826
18,FAN_ZONE,PIT_LANE_WALK,cloudy,100000,0.4595,1.0004,16.37,0,0.5867
18,FOOD_N,PRACTICE,rain,80000,0.1215,0.8168,1143.56,1,0.3655
18,FOOD_S,QUALIFYING,rain,100000,0.4797,0.5202,235.47,0,0.5618
18,MERCH,PIT_LANE_WALK,cloudy,100000,0.4876,0.3176,909.81,0,0.5732
18,PIT_WALK,RACE,heavy_rain,80000,0.9127,0.2363,1301.61,0,0.993
19,GS_A,PODIUM,heavy_rain,120000,0.368,0.8926,825.19,0,0.5196
19,GS_B,PODIUM,rain,150000,0.2513,0.7744,1140.8,0,0.391
19,GS_C,PODIUM,cloudy,60000,0.743,0.1433,767.56,1,0.922
19,FAN_ZONE,LUNCH,cloudy,100000,0.8879,0.2539,153.38,0,0.9345
19,FOOD_N,EXIT_RUSH,sunny,120000,0.9265,0.472,618.96,1,1.1522
19,FOOD_S,QUALIFYING,cloudy,80000,0.5633,0.6771,962.73,0,0.6765
19,MERCH,PIT_LANE_WALK,cloudy,60000,0.4812,0.2268,1367.14,0,0.5715
19,PIT_WALK,EXIT_RUSH,cloudy,60000,0.648,0.7135,78.72,1,0.8834
20,GS_A,EXIT_RUSH,cloudy,100000,0.1358,0.9344,1424.95,0,0.3136
20,GS_B,RACE,rain,60000,0.4294,0.7978,593.71,1,0.655
20,GS_C,PRACTICE,cloudy,80000,0.6692,0.8668,825.05,0,0.7822
20,FAN_ZONE,PRACTICE,rain,120000,0.2951,0.6406,524.07,0,0.3829
20,FOOD_N,PODIUM,rain,150000,0.2809,0.6899,1372.8,0,0.419
20,FOOD_S,EXIT_RUSH,rain,80000,0.4182,0.5273,1252.23,0,0.5564
20,MERCH,PIT_LANE_WALK,heavy_rain,120000,0.378,0.3864,178.75,0,0.4646
20,PIT_WALK,QUALIFYING,cloudy,60000,0.6129,0.8165,767.71,0,0.7341
21,GS_A,EXIT_RUSH,cloudy,150000,0.1354,0.9851,1114.22,0,0.3089
21,GS_B,LUNCH,rain,120000,0.7253,0.4285,1034.62,0,0.8222
21,GS_C,EXIT_RUSH,rain,150000,0.1462,0.7887,850.27,0,0.2986
21,FAN_ZONE,EXIT_RUSH,rain,120000,0.1202,0.1136,1244.38,0,0.2169
21,FOOD_N,QUALIFYING,cloudy,120000,0.9048,0.5274,491.04,1,1.1088
21,FOOD_S,EXIT_RUSH,cloudy,150000,0.5767,0.4139,1480.17,0,0.7041
21,MERCH,PRACTICE,sunny,60000,0.1912,0.1003,46.8,0,0.2026
21,PIT_WALK,LUNCH,sunny,100000,0.3579,0.5196,852.17,0,0.4505
22,GS_A,PIT_LANE_WALK,sunny,120000,0.283,0.3099,634.75,0,0.358
22,GS_B,PRACTICE,rain,100000,0.6556,0.4272,52.49,0,0.7079
22,GS_C,LUNCH,sunny,120000,0.4884,1.1255,1474.92,0,0.6602
22,FAN_ZONE,QUALIFYING,rain,60000,0.2484,0.2238,1087.21,0,0.3264
22,FOOD_N,LUNCH,cloudy,120000,0.6974,0.6277,1097.15,0,0.8097
22,FOOD_S,EXIT_RUSH,heavy_rain,80000,0.6763,0.1329,746.14,1,0.8896
22,MERCH,PRACTICE,rain,120000,0.927,0.7344,66.05,0,1.0104
22,PIT_WALK,EXIT_RUSH,cloudy,120000,0.2723,0.394,1006.86,0,0.3835
23,GS_A,RACE,heavy_rain,80000,0.7888,1.1954,66.18,1,1.0479
23,GS_B,PRACTICE,rain,120000,0.7082,0.9168,429.78,1,0.9408
23,GS_C,PODIUM,cloudy,100000,0.5629,0.5106,1352.73,0,0.6761
23,FAN_ZONE,PIT_LANE_WALK,rain,120000,0.446,0.7382,558.16,0,0.5695
23,FOOD_N,PRACTICE,rain,100000,0.6744,0.5486,1442.08,0,0.7805
23,FOOD_S,RACE,cloudy,100000,0.886,0.81,676.15,0,0.9889
23,MERCH,RACE,rain,150000,0.5304,1.0457,937.59,0,0.6711
23,PIT_WALK,PODIUM,heavy_rain,120000,0.2186,0.9979,308.72,0,0.3652
24,GS_A,RACE,sunny,100000,0.8486,1.1896,816.0,0,0.992
24,GS_B,LUNCH,rain,60000,0.8943,0.8311,247.05,1,1.1279
24,GS_C,QUALIFYING,heavy_rain,150000,0.3767,1.0201,559.98,0,0.5281
24,FAN_ZONE,PRACTICE,cloudy,80000,0.3985,0.5488,1127.35,1,0.6088
24,FOOD_N,PRACTICE,sunny,80000,0.8092,1.0848,282.5,1,1.0461
24,FOOD_S,EXIT_RUSH,heavy_rain,80000,0.8785,0.8644,459.83,0,1.0363
24,MERCH,PRACTICE,sunny,100000,0.5607,0.2062,1221.74,0,0.6179
24,PIT_WALK,PRACTICE,sunny,120000,0.2029,0.3043,1164.1,0,0.2683
25,GS_A,QUALIFYING,sunny,100000,0.9084,0.5641,536.27,0,0.9959
25,GS_B,RACE,heavy_rain,120000,0.4296,0.3293,642.79,0,0.4994
25,GS_C,PIT_LANE_WALK,heavy_rain,150000,0.9305,0.65,527.25,1,1.1739
25,FAN_ZONE,PIT_LANE_WALK,heavy_rain,120000,0.7543,0.565,880.69,0,0.8798
25,FOOD_N,QUALIFYING,rain,60000,0.1329,0.6362,1358.81,0,0.2603
25,FOOD_S,PRACTICE,heavy_rain,100000,0.3086,1.0137,946.95,1,0.576
25,MERCH,PIT_LANE_WALK,heavy_rain,150000,0.3052,1.1824,51.51,0,0.4676
25,PIT_WALK,EXIT_RUSH,sunny,60000,0.449,0.1113,192.58,1,0.6259
26,GS_A,QUALIFYING,sunny,150000,0.5268,0.6095,1045.7,0,0.6341
26,GS_B,QUALIFYING,rain,60000,0.2,0.6684,260.88,0,0.2977
26,GS_C,LUNCH,sunny,120000,0.3467,0.4646,164.51,0,0.4131
26,FAN_ZONE,EXIT_RUSH,cloudy,60000,0.5133,0.1063,1163.61,1,0.7204
26,FOOD_N,RACE,heavy_rain,120000,0.3569,0.3458,1298.35,0,0.4481
26,FOOD_S,LUNCH,cloudy,150000,0.7872,1.1428,174.13,0,0.9233
26,MERCH,PODIUM,heavy_rain,150000,0.5784,0.5819,550.01,0,0.6906
26,PIT_WALK,QUALIFYING,heavy_rain,100000,0.863,0.5051,815.23,0,0.9706
27,GS_A,PRACTICE,rain,120000,0.4708,0.8723,100.41,0,0.5691
27,GS_B,LUNCH,sunny,80000,0.4411,1.1112,1359.92,0,0.608
27,GS_C,PODIUM,rain,120000,0.1734,0.3055,294.78,0,0.2408
27,FAN_ZONE,QUALIFYING,sunny,80000,0.1568,0.969,278.27,0,0.277
27,FOOD_N,QUALIFYING,sunny,60000,0.2721,0.4304,1119.96,0,0.3637
27,FOOD_S,PIT_LANE_WALK,sunny,80000,0.5337,0.1134,786.84,0,0.5936
27,MERCH,LUNCH,cloudy,120000,0.3716,0.368,720.58,1,0.5666
27,PIT_WALK,PODIUM,sunny,80000,0.5069,0.209,581.79,0,0.5653
28,GS_A,QUALIFYING,sunny,80000,0.8292,0.2599,1140.78,0,0.9044
28,GS_B,LUNCH,rain,60000,0.6329,0.5549,938.44,1,0.8595
28,GS_C,QUALIFYING,sunny,100000,0.7395,0.1472,480.73,0,0.7837
28,FAN_ZONE,PODIUM,cloudy,150000,0.4322,0.7671,1300.4,1,0.6895
28,FOOD_N,EXIT_RUSH,cloudy,150000,0.907,0.6605,609.8,0,1.0329
28,FOOD_S,RACE,sunny,60000,0.5431,0.6468,112.58,1,0.7311
28,MERCH,EXIT_RUSH,sunny,100000,0.5774,0.8749,1165.57,0,0.7399
28,PIT_WALK,PIT_LANE_WALK,rain,100000,0.4343,0.611,1210.22,0,0.5647
29,GS_A,EXIT_RUSH,cloudy,100000,0.8271,0.6169,731.68,1,1.0723
29,GS_B,RACE,sunny,100000,0.1773,0.6386,513.62,0,0.2566
29,GS_C,LUNCH,rain,80000,0.894,1.0622,891.65,0,1.05
29,FAN_ZONE,EXIT_RUSH,rain,100000,0.5811,0.4834,459.52,1,0.8112
29,FOOD_N,EXIT_RUSH,cloudy,80000,0.3243,0.5662,988.67,0,0.4522
29,FOOD_S,PIT_LANE_WALK,cloudy,150000,0.684,0.4976,814.16,1,0.9048
29,MERCH,PIT_LANE_WALK,cloudy,150000,0.5421,0.2289,1084.11,0,0.6241
29,PIT_WALK,PODIUM,heavy_rain,80000,0.7715,1.0134,274.62,0,0.9186
30,GS_A,QUALIFYING,rain,100000,0.4329,0.8887,1398.73,0,0.5867
30,GS_B,EXIT_RUSH,heavy_rain,60000,0.6151,0.3778,1449.77,0,0.754
30,GS_C,QUALIFYING,rain,80000,0.2606,1.1275,1391.71,1,0.5581
30,FAN_ZONE,QUALIFYING,sunny,120000,0.3258,1.1797,942.17,1,0.6071
30,FOOD_N,PIT_LANE_WALK,sunny,60000,0.4289,0.2314,271.66,0,0.4851
30,FOOD_S,EXIT_RUSH,sunny,80000,0.3358,0.7033,402.62,1,0.5782
30,MERCH,PRACTICE,rain,100000,0.1339,0.8263,89.82,0,0.2273
30,PIT_WALK,RACE,rain,80000,0.4653,0.3535,927.47,0,0.5365
31,GS_A,LUNCH,cloudy,80000,0.2289,0.7091,475.08,1,0.4507
31,GS_B,RACE,rain,60000,0.5605,0.1192,240.59,1,0.7076
31,GS_C,QUALIFYING,cloudy,80000,0.1813,1.0299,331.46,0,0.3109
31,FAN_ZONE,QUALIFYING,heavy_rain,80000,0.3376,0.1035,1006.74,1,0.5307
31,FOOD_N,QUALIFYING,heavy_rain,120000,0.2974,1.032,612.8,0,0.4515
31,FOOD_S,EXIT_RUSH,rain,120000,0.823,0.9258,34.54,0,0.9646
31,MERCH,PRACTICE,heavy_rain,120000,0.4712,1.0627,513.43,1,0.7304
31,PIT_WALK,RACE,heavy_rain,120000,0.6156,0.5103,1055.18,0,0.7159
32,GS_A,LUNCH,rain,120000,0.2761,0.4456,607.65,0,0.3619
32,GS_B,RACE,cloudy,120000,0.6104,0.6167,36.41,0,0.6747
32,GS_C,PIT_LANE_WALK,heavy_rain,120000,0.7061,0.1241,857.48,0,0.7868
32,FAN_ZONE,QUALIFYING,rain,80000,0.4708,0.5899,636.21,0,0.5719
32,FOOD_N,LUNCH,cloudy,150000,0.3288,1.1028,389.79,0,0.4673
32,FOOD_S,EXIT_RUSH,sunny,100000,0.6483,0.759,1215.21,1,0.9206
32,MERCH,LUNCH,sunny,100000,0.1408,0.3514,1060.66,0,0.2227
32,PIT_WALK,PIT_LANE_WALK,cloudy,100000,0.1674,1.1252,679.65,1,0.4469
33,GS_A,LUNCH,sunny,60000,0.8404,0.3046,614.2,0,0.9042
33,GS_B,EXIT_RUSH,cloudy,150000,0.6278,0.7299,1174.65,0,0.7776
33,GS_C,PRACTICE,cloudy,60000,0.4997,0.5656,251.89,0,0.5654
33,FAN_ZONE,RACE,sunny,150000,0.7569,0.3959,1174.72,1,0.9517
33,FOOD_N,LUNCH,cloudy,100000,0.7467,0.8955,229.08,0,0.8598
33,FOOD_S,PRACTICE,sunny,80000,0.8271,0.943,769.87,1,1.0645
33,MERCH,LUNCH,rain,120000,0.242,0.616,1269.81,0,0.3646
33,PIT_WALK,LUNCH,cloudy,60000,0.3089,0.2927,164.81,0,0.3597
34,GS_A,RACE,heavy_rain,150000,0.9354,0.2495,430.8,1,1.1109
34,GS_B,PODIUM,rain,100000,0.5602,0.5443,787.58,1,0.7863
34,GS_C,QUALIFYING,cloudy,80000,0.5449,0.5484,754.73,0,0.639
34,FAN_ZONE,PRACTICE,heavy_rain,120000,0.1624,1.1942,1262.92,1,0.4573
34,FOOD_N,EXIT_RUSH,sunny,120000,0.3546,0.1263,730.83,0,0.4291
34,FOOD_S,RACE,cloudy,120000,0.7588,0.9254,674.91,0,0.8732
34,MERCH,QUALIFYING,rain,120000,0.3078,0.118,340.61,1,0.4728
34,PIT_WALK,QUALIFYING,cloudy,60000,0.4964,0.6117,1323.58,1,0.7339
35,GS_A,PRACTICE,rain,60000,0.3086,0.2601,960.03,0,0.3714
35,GS_B,EXIT_RUSH,heavy_rain,150000,0.398,1.1003,1330.57,0,0.6055
35,GS_C,PRACTICE,heavy_rain,100000,0.3499,1.0032,827.41,0,0.4926
35,FAN_ZONE,PRACTICE,sunny,150000,0.3817,0.4414,760.08,0,0.4487
35,FOOD_N,RACE,rain,120000,0.3292,0.1272,328.04,0,0.3597
35,FOOD_S,RACE,rain,100000,0.4429,0.9784,690.44,0,0.5694
35,MERCH,QUALIFYING,heavy_rain,150000,0.1433,0.6687,184.95,1,0.3683
35,PIT_WALK,RACE,sunny,120000,0.1307,0.9572,1093.0,0,0.2592
36,GS_A,PODIUM,rain,80000,0.3806,0.8857,1097.17,0,0.5301
36,GS_B,PIT_LANE_WALK,heavy_rain,60000,0.7478,0.316,925.31,0,0.8497
36,GS_C,QUALIFYING,cloudy,80000,0.1374,0.1133,199.41,1,0.2913
36,FAN_ZONE,LUNCH,sunny,80000,0.4629,0.725,1485.64,0,0.5949
36,FOOD_N,PRACTICE,cloudy,80000,0.83,0.3921,724.0,1,1.0125
36,FOOD_S,QUALIFYING,rain,120000,0.8861,0.6428,119.95,0,0.977
36,MERCH,EXIT_RUSH,rain,150000,0.9123,0.3839,837.85,0,1.0238
36,PIT_WALK,RACE,rain,80000,0.2323,0.8502,1074.85,0,0.3575
37,GS_A,RACE,rain,120000,0.7927,0.5773,408.28,1,0.9907
37,GS_B,PIT_LANE_WALK,sunny,150000,0.1436,0.7509,1202.51,0,0.2798
37,GS_C,LUNCH,heavy_rain,60000,0.2901,0.9618,1321.12,0,0.4585
37,FAN_ZONE,QUALIFYING,heavy_rain,100000,0.6928,0.6564,618.97,0,0.8096
37,FOOD_N,PODIUM,sunny,60000,0.169,0.2787,721.76,0,0.2385
37,FOOD_S,QUALIFYING,sunny,100000,0.4703,0.9966,231.07,0,0.5919
37,MERCH,QUALIFYING,heavy_rain,120000,0.2005,0.3593,1318.66,0,0.3086
37,PIT_WALK,EXIT_RUSH,cloudy,80000,0.4656,0.3586,364.85,0,0.554
38,GS_A,PRACTICE,sunny,60000,0.6083,0.7528,1279.8,0,0.722
38,GS_B,EXIT_RUSH,cloudy,60000,0.2275,0.5714,1344.87,0,0.3666
38,GS_C,EXIT_RUSH,rain,150000,0.5005,0.136,437.13,0,0.5752
38,FAN_ZONE,PRACTICE,sunny,60000,0.1744,0.2817,464.65,0,0.2165
38,FOOD_N,LUNCH,heavy_rain,60000,0.6222,1.0036,288.37,1,0.8838
38,FOOD_S,PRACTICE,rain,60000,0.3272,0.4206,1255.27,0,0.4149
38,MERCH,EXIT_RUSH,sunny,150000,0.493,1.0376,236.09,1,0.7638
38,PIT_WALK,PIT_LANE_WALK,cloudy,120000,0.2902,0.4121,590.09,1,0.4957
39,GS_A,PODIUM,heavy_rain,80000,0.4049,0.6598,440.48,1,0.6417
39,GS_B,LUNCH,cloudy,80000,0.7751,1.0318,999.38,1,1.0449
39,GS_C,PRACTICE,cloudy,120000,0.6977,0.1405,88.12,0,0.716
39,FAN_ZONE,PIT_LANE_WALK,rain,120000,0.2072,0.895,423.71,0,0.3424
39,FOOD_N,PODIUM,rain,120000,0.47,0.2349,966.47,0,0.5505
39,FOOD_S,PIT_LANE_WALK,sunny,60000,0.6578,0.5006,586.19,0,0.7504
